大事 daiji
過激 kageki
横浜 yokohama
越す kosu
引っ越す hikkosu
間に合う ma ni au
締め切り shimekiri
長い間 nagaiaida
差し上げる sashiageru
古文 kobun
市場 ichiba
慣れる nareru
少しずつ sukoshi zutsu
漸く youyaku
結露 ketsuro
曇る kumoru
入場料 nyuujouryou
無料 muryou
関する kan suru
に関して ni kanshite
巷 chimata
岐 chimata
腐る kusaru
溢れる afureru
非常 hijou
中心 chuusin
中心地 chuushinchi
華やか hanayaka
若者 wakamono
人気 ninki
恐らく osoraku
辺り atari
因る yoru
依る yoru
寛大 kandai
寛大さ kandaisa
友人 yuujin
付け込む tsukekomu
未来 mirai
助詞 joshi
お台場 odaiba
信じる shinjiru
帝国 teikoku
時代 jidai
王 ou
冠 kanmuri
革命 kakumei
弾丸 dangan
命中 meichuu
講演 kouen
宣伝 senden
糞 kuso
開発 kaihatsu
開発者 kaihatsusha
順序 junjo
段階 dankai
計画 keikaku
風景 fuukei
穏やか odayaka
消臭剤 shoushuuzai
年上 toshiue
昼寝 hirune
付き合う tsukiau
見つかる mitsukaru
お蔭 okage
お陰様で okagesamade
只 tada
周り mawari
