埼玉	さいたま	[n.] Saitama (city)
万	まん,よろず	[num.] 10,000; ten thousand // [n.; no-n.] myriad // [advn.] everything; all // [n.; no-n.; arch.] various
人	じん	[suffix] -ian (e.g. Italian); -ite (e.g. Tokyoite); indicates nationality, race, origin, etc. // [n.] -er (e.g. performer, etc.); person working with ...; indicates expertise (in a certain field) // [n.] (usu. in compound words) man; person; people
人	と	[suffix] person
人	ひと,ヒト	[n.] man; person // [n.] human being; mankind; people // [us. kana] human (Homo sapiens); humans as a species // [n.] character; personality // [n.] man of talent; true man // [n.] another person; other people; others // [n.] adult
人	にん,たり,り	[cnt.] counter for people // [n.] person
万人	ばんにん,ばんじん,まんにん	[n.] all people; everybody // [n.] ten thousand people
ぐらい	くらい,ぐらい	[suffix; part.] approximately; about; around; or so // [n.] to (about) the extent that; (almost) enough that; so ... that ...; at least // [n.] as ... as ...; like
乗る	のる	[v5ru.; vi.] to get on (train, plane, bus, ship, etc.); to get in; to board; to take; to embark // [n.] to get on (e.g. a footstool); to step on; to jump on; to sit on; to mount // [n.] to reach; to go over; to pass // [n.] to follow; to stay (on track); to go with (the times, etc.) // [n.] to take part; to participate; to join // [n.] to get into the swing (and sing, dance, etc.) // [n.] to be deceived; to be taken in // [n.] to be carried; to be spread; to be scattered // [n.] to stick; to attach; to take; to go on
きれい	きれい,キレイ	[adjn..; us. kana] pretty; lovely; beautiful; fair // [us. kana] clean; clear; pure; tidy; neat // [us. kana] completely; entirely
たり	たり,だり	[part.] -ing and -ing (e.g. "coming and going") // [n.] (used adverbially) doing such things as... // [n.] expresses a command // [auxv.; arch.] (after a noun) to be // [arch.] indicates completion or continuation of an action
間	あいだ,あわい	[advn.; n.] space (between); gap; interval; distance // [advn.; tempn.] time (between); pause; break // [advn.; n.; tempn.] span (temporal or spatial); stretch; period (while) // [advn.; n.] relationship (between, among) // [n.] members (within, among) // [conj.; arch.] due to; because of
間	ま	[n.] space; room; time; pause
間	かん	[n.; suffix] interval; period of time // [n.] among; between; inter-
間	けん	[n.] 1.818 m (6 shaku) // [cnt.] counter used to number the gaps between pillars
急	きゅう	[adjn..] urgent; sudden; abrupt // [n.] sharp; steep; precipitous // [n.] rapid; swift; fast // [n.] emergency; crisis // [n.] hurrying; haste // [n.] (in gagaku or noh) end of a song
流れ	ながれ	[n.] stream; current; flow // [n.] course of events
楽しむ	たのしむ	[v5mu.] to enjoy (oneself)
だり	たり,だり	[part.] -ing and -ing (e.g. "coming and going") // [n.] (used adverbially) doing such things as... // [n.] expresses a command // [auxv.; arch.] (after a noun) to be // [arch.] indicates completion or continuation of an action
する		[vsuruirr.; us. kana] to do // [us. kana] to cause to become; to make (into); to turn (into) // [us. kana] to serve as; to act as; to work as // [us. kana] to wear (clothes, a facial expression, etc.) // [us. kana] to judge as being; to view as being; to think of as; to treat as; to use as // [us. kana] to decide on; to choose // [vsuruirr.; vi.; us. kana] to be sensed (of a smell, noise, etc.) // [us. kana] to be (in a state, condition, etc.) // [us. kana] to be worth; to cost // [us. kana] to pass (of time); to elapse // [vsuruirr.; vt.; us. kana] to place, or raise, person A to a post or status B // [us. kana] to transform A to B; to make A into B; to exchange A for B // [us. kana] to make use of A for B; to view A as B; to handle A as if it were B // [us. kana] to feel A about B // [suffix; vsuruirr.; us. kana] verbalizing suffix (applies to nouns noted in this dictionary with the part of speech "vs") // [auxv.; vsuruirr.; us. kana] creates a humble verb (after a noun prefixed with "o" or "go") // [us. kana] to be just about to; to be just starting to; to try to; to attempt to
する		[v5ru.; vt.; us. kana] to pick someone's pocket
今	いま	[advn.; n.] now; the present time; just now; soon; immediately; (one) more
今	こん	[pref.] the current ...; this // [n.] today's ...
５	ご,いつ,い	[num.] five
１５	じゅうご	[n.] 15; fifteen
使う	つかう	[v5u.; vt.] to use (a thing, method, etc.); to make use of; to put to use // [n.] to use (a person, animal, puppet, etc.); to employ; to handle; to manage; to manipulate // [n.] to use (time, money, etc.); to spend; to consume // [n.] to use (language); to speak
古く	ふるく	[adv.; n.] anciently; formerly
なる		[v5ru.; vi.; us. kana] to become; to get; to grow; to be; to reach; to attain // [n.] to result in; to prove to be // [n.] to consist of; to be composed of // [n.] to succeed; to be complete // [n.] to change into; to be exchanged for // [n.] to play a role // [n.] to be promoted // [v5ru.; sonkeigo] to do ...
なる		[v5ru.; vi.; us. kana] to bear fruit
なる		[suffix; n./prenv.; arch.] that is in // [n.] who is called; that is called // [n.] that is
代わり	かわり	[n.; no-n.] substitute; replacement; substituting; replacing // [n.] stand-in; proxy; alternate; deputy; relief; successor // [n.] compensation; exchange; return // [n.] second helping; another cup; seconds // [abbr.] upcoming program; upcoming programme
代わり	がわり	[suffix] substitute for ...
代わりに	かわりに	[adv.] instead of; for; as; in exchange for; in return (for); to make up for
２	に,ふた,ふ,ふう	[num.] two
２	アル	[num.] two
７	しち,なな,な	[num.] seven // [pref.] hepta-
持つ	もつ	[v5tsu.] to hold (in one's hand); to take; to carry // [n.] to possess; to have; to own // [n.] to maintain; to keep // [n.] to last; to be durable; to keep; to survive // [n.] to take charge of; to be in charge of
会社	かいしゃ	[n.] company; corporation // [n.] workplace
先月	せんげつ	[advn.; tempn.] last month
２つ	ふたつ	[num.] two
杉	すぎ,スギ	[n.] Japanese cedar (Cryptomeria japonica)
木	き	[n.] tree; shrub; bush // [n.] wood; timber
木	もく	[n.; abbr.] Thursday // [n.] wood (first of the five elements)
長い	ながい	[adj.] long (distance) // [n.] long (time); lengthy
さ		[suffix] -ness (nominalizing suffix indicating degree or condition) // [part.] (sentence end, mainly masc.) indicates assertion // [interj.] come; come now
長さ	ながさ	[n.] length
検査	けんさ	[n.; suru] inspection (e.g. customs, factory); examination; scan (e.g. MRI, PET, etc.)
受ける	うける,ウケる	[v1.; vt.] to receive; to get // [n.] to catch (e.g. a ball) // [n.] to be struck by (wind, waves, sunlight, etc.) // [n.] to sustain (damage); to incur (a loss); to suffer (an injury); to feel (influence) // [n.] to undergo (e.g. surgery); to take (a test); to accept (a challenge) // [n.] to be given (e.g. life, talent) // [n.] to follow; to succeed; to be descended from // [n.] to face (south, etc.) // [n.] to be modified by // [n.] to obtain (a pawned item, etc.) by paying a fee // [v1.; vi.; us. kana] to be well-received; to become popular; to go down well // [coll.; us. kana] to be funny; to be humorous
来月	らいげつ	[advn.; tempn.] next month
予定	よてい	[n.; suru] plans; arrangement; schedule; program; programme; expectation; estimate
電話	でんわ	[n.; suru; no-n.] telephone call; phone call // [n.; no-n.; abbr.] telephone (device); phone
など		[part.; us. kana] et cetera; etc.; and the like; and so forth // [us. kana] or something // [us. kana] the likes of
詐欺	さぎ	[n.; no-n.] fraud; swindle; graft; cheating; trick; scam
４	し,よん,よ	[num.] four
億	おく	[num.] 10^8; 100,000,000; hundred million
円	えん	[n.] yen; Japanese monetary unit // [n.] circle
円	まる	[n.] circle // [n.; prefn.] entirety; whole; full; complete // [n.; slang] money; dough; moola // [n.] enclosure inside a castle's walls // [n.] soft-shelled turtle // [suffix] suffix for ship names; suffix for names of people (esp. infants); suffix for names of swords, armour, musical instruments, etc.; suffix for names of dogs, horses, etc.
以上	いじょう	[advn.; tempn.] not less than; ... and more; ... and upwards // [n.] beyond ... (e.g. one's means); further (e.g. nothing further to say); more than ... (e.g. cannot pay more than that) // [n.] above-mentioned; foregoing // [n.] since ...; seeing that ... // [n.] this is all; that is the end; the end
とる		[v5ru.; vt.; us. kana] to have (e.g. lunch); to take (e.g. vitamins)
とる		[v5ru.] is being
れる	れる,られる	[auxv.; v1.] indicates passive voice (incl. the "suffering passive") // [n.] indicates the potential form // [n.] indicates spontaneous occurrence // [sonkeigo] used as an honorific for others' actions
警察	けいさつ	[n.; no-n.] police // [abbr.] police officer // [abbr.] police station
よる		[v5ru.; vi.; us. kana] to be due to; to be caused by // [us. kana] to depend on; to turn on // [us. kana] to be based on; to come from // [us. kana] to be based at (a location, an organization); to be headquartered at
よる		[auxv.; v5ru.; der.] verb suffix indicating contempt or disdain for another's action
による		[phrase; v5ru.; us. kana] by means of; due to; because of; according to
によると		[phrase; us. kana] according to (someone)
よると		[phrase; us. kana] according to
メール	メール,メイル,メェル	[n.; suru; abbr.] email // [n.] mail (usu. in phrases and compound words) // [n.] male
お金	おかね	[n.; teineigo] money
６	ろく,む,むう	[num.] six
１万	いちまん	[n.] 10,000; ten thousand
件	くだん	[no-n.; us. kana] the aforementioned; the said; (man, incident, etc.) in question; the above-mentioned; the aforesaid // [n.] the usual
件	けん	[n.; cnt.] matter; case; item; affair; subject
件	くだり	[n.; us. kana] passage; paragraph
全部	ぜんぶ	[advn.; tempn.; no-n.] all; entire; whole; altogether
前	さき	[n.; no-n.; sufn.; pref.] previous; prior; former; first; earlier; some time ago; preceding // [n.] point (e.g. pencil); tip; end; nozzle // [n.] head (of a line); front // [n.] ahead; the other side // [n.] the future; hereafter // [n.] destination // [n.] the other party
前	ぜん	[prefn.] the last (i.e. immediately preceding) (e.g. "the last mayor"); previous; one-time; former // [n.] pre- (e.g. "premodern") // [no-n.; n.] before; earlier
前	まえ	[advn.; tempn.; suffix] ago; before (some event); previously; (minutes) to (the hour) // [n.] in front (of); before (e.g. the house) // [n.] head (of a line); front (e.g. of a bus); fore part // [n.] in the presence of // [n.] helping; portion // [n.] privates; private parts
より		[part.] than // [n.] from; out of; since; at; on // [n.] except; but; other than // [adv.] more
年より	としより	[n.] old people; the aged // [n.] trustee of the Japan Sumo Association; retired high-ranking wrestler who is licensed to coach and receives retirement pay // [n.] senior statesman (of the Tokugawa shogunate) // [n.] important local official (under the Tokugawa Shogunate)
少ない	すくない	[adj.] few; a little; scarce; insufficient; seldom
少なくなる	すくなくなる	[phrase; v5ru.; vi.] to lessen; to decrease; to diminish
続く	つづく	[v5ku.; vi.] to continue; to last; to go on // [n.] to continue (without a break); to be unbroken // [n.] to occur again and again // [n.] to lead to; to connect to; to adjoin // [n.] to come after; to follow; to succeed; to rank next to // [n.] to hold out; to keep; to last
続いて	つづいて	[conj.] subsequently; next // [phrase] after ...; following ...; in the wake of ...
多い	おおい	[adj.] many; numerous
たの		[phrase] (usu. sentence end) indicates emotion, admiration, emphasis, etc.
息子	むすこ,そく	[n.] son // [vulg.] penis
だと		[phrase] if it's the case
うそ	かわうそ,うそ,おそ,だつ,カワウソ	[n.; us. kana] otter (Lutra lutra) // [us. kana] Japanese river otter (Lutra lutra whiteleyi)
うそ	うそ,ウソ	[n.; us. kana] Eurasian bullfinch (Pyrrhula pyrrhula); Japanese bullfinch
言う	いう,ゆう	[v5u.] to say; to utter; to declare // [n.] to name; to call // [n.] to go (e.g. "the alarm went ping"); to make a noise
次に	つぎに	[conj.] next; then; after that
利用	りよう	[n.; suru] use; utilization; utilisation; application
して		[n.] doer; performer // [us. kana] protagonist (in noh or kyogen); hero; leading part; main character // [n.] speculator (in trading)
して		[part.] by (indicating means of action); as (a group, etc.) // [n.] indicates patient of a causative expression // [n.] acts as a connective // [n.] adds emphasis // [conj.] and then
料金	りょうきん	[n.] fee; charge; fare
払う	はらう	[v5u.; vt.] to pay (e.g. money, bill) // [n.] to brush off; to wipe away; to clear away; to dust off; to cut off (e.g. branches) // [n.] to drive away (e.g. one's competitors) // [n.] to sell off (something unneeded); to dispose of // [n.] to pay (e.g. attention); to show (e.g. respect, concern) // [n.] to make (e.g. effort, sacrifice); to expend; to exert // [n.] to move out (of one's own place); to vacate // [n.] to sweep (e.g. one's legs); to knock aside // [n.] to make a sweeping stroke (in Japanese calligraphy) // [n.] to reset (an abacus)
手紙	てがみ	[n.; no-n.] letter
送る	おくる	[v5ru.; vt.] to send (a thing); to dispatch; to despatch; to transmit // [n.] to take or escort (a person somewhere); to see off (a person) // [n.] to bid farewell (to the departed); to bury // [n.] to spend (time); to live one's life // [n.] to pass (down the line) // [n.] to affix okurigana
くる		[n.; us. kana] rickets // [n.] someone suffering from rickets
くる	えぐる,くる	[v5ru.; vt.; us. kana] to gouge; to hollow out; to bore; to excavate; to scoop out // [us. kana] to greatly perturb; to cause emotional pain // [us. kana] to get to the bottom of things; to relentlessly bring the truth to light
私	わたし,わたくし	[pron.; no-n.] I; me // [n.; no-n.] private affairs; personal matter; secrecy // [n.] selfishness
私	あたし,あたくし,あたい,あて	[pron.; no-n.; fem.] I; me
私	わらわ	[pron.; no-n.; arch.; kenjougo; fem.] I; me
私	わし	[pron.; no-n.; us. kana] I; me (used by elderly males)
私	あっし,わっち,わっし	[pron.; no-n.] I (mainly used by working men); myself
私	わい,わて	[pron.; arch.] I; me // [n.] you (used toward people of equal or lower status)
私	わたい	[n.; arch.] I; me
私	し	[n.] private affairs; personal matter
役所	やくしょ	[n.] government office; public office
職員	しょくいん	[n.; no-n.] staff member; personnel
税金	ぜいきん	[n.] tax; duty
戻る	もどる	[v5ru.; vi.] to turn back (e.g. half-way) // [n.] to return; to go back // [n.] to recover (e.g. something lost); to be returned // [n.] to rebound; to spring back
戻ってくる	もどってくる	[phrase; vkuru.] to come back
と言う	という,とゆう	[phrase; us. kana] called; named // [us. kana] as many as; as much as // [us. kana] all X; every X
と言って	といって	[phrase] however; because; as
ＡＴＭ	エーティーエム	[n.] automatic teller machine; ATM; automated teller machine // [n.] asynchronous transfer mode; ATM // [n.] anti-tank missile; ATM
せる	せる,させる	[auxv.; v1.] auxiliary verb indicating the causative // [kenjougo] auxiliary verb indicating that one has been granted the permission to do something // [sonkeigo] auxiliary verb used as an honorific for others' actions
増える	ふえる	[v1.; vi.] to increase; to multiply
８	はち,や	[num.] eight
歳	さい	[suffix] -years-old // [n.] ability; gift; talent; aptitude; genius
歳	とし	[n.] year // [n.] age; years // [n.] past one's prime; old age
歳	とせ	[cnt.; arch.] counter for years (following a number in the hito-futa-mi counting system)
銀行	ぎんこう	[n.; no-n.] bank
もっと		[adv.] (some) more; even more; longer; further
協力	きょうりょく	[n.; suru; no-n.] cooperation; collaboration
お		[interj.] oh! (expression of slight surprise)
お	お,おん	[pref.; sonkeigo; teineigo; kenjougo; us. kana] honorific/polite/humble prefix
年寄り	としより	[n.] old people; the aged // [n.] trustee of the Japan Sumo Association; retired high-ranking wrestler who is licensed to coach and receives retirement pay // [n.] senior statesman (of the Tokugawa shogunate) // [n.] important local official (under the Tokugawa Shogunate)
よう		[sufn.; n.; us. kana] appearing ...; looking ... // [n.] way to ...; method of ...ing // [n.] form; style; design // [n.] like; similar to // [n.] thing (thought or spoken)
よう		[adv.; us. kana] well; properly; skillfully // [n.] often
よう		[n.; us. kana] carbuncle
よう		[auxv.] indicates speculation // [n.] indicates will // [n.] indicates invitation
ように		[phrase; us. kana] in order to (e.g. meet goal); so that; take care (so as) // [us. kana] hoping or wishing for something
ようにする		[phrase; vsuruirr.] (following a verb) to be sure to; to do (something) so that ...; to make sure to; to try to
にし	にし,ニシ	[n.; us. kana] small spiral-shelled snail
たい	たい,タイ	[n.; us. kana] sea bream (Sparidae); porgy // [n.] tai (species of reddish-brown Pacific sea bream, Pagrus major)
たい	たい,タイ	[n.; us. kana] Thailand
たい		[auxadj.] want to ... do something; would like to ... // [part.] indicates emphasis // [suffix; adj.] very ...
したい		[adj.] want to do
国際	こくさい	[n.; no-n.] international
バレエ		[n.] ballet
日本	にほん,にっぽん	[n.] Japan
日本人	にほんじん,にっぽんじん	[n.] Japanese person; Japanese people
２人	ふたり,ににん	[n.] two persons; two people; pair; couple
賞	しょう	[n.; sufn.] prize; award
もらう		[v5u.; vt.; us. kana] to receive; to take; to accept // [auxv.; v5u.; us. kana] to get somebody to do something
世界	せかい	[n.] the world; society; the universe // [n.] sphere; circle; world // [no-n.] renowned; world-famous; well-known outside of Japan // [n.] realm governed by one Buddha; space
有名	ゆうめい	[adjn..] famous // [n.] fame
太	ふと	[prefn.; n.] fat; fatty // [prefn.] grand; magnificent; excellent
さん		[suffix; sonkeigo; fam.] Mr.; Mrs.; Miss; Ms.; -san // [teineigo] makes words more polite (usu. in fixed expressions)
毎年	まいとし,まいねん	[tempn.] every year; yearly; annually
スイス		[n.; us. kana] Switzerland
行う	おこなう	[v5u.; vt.] to perform; to do; to conduct oneself; to carry out
若い	わかい	[adj.] young; youthful // [n.] immature; green // [n.] low (number); small
ダンサー		[n.] dancer
参加	さんか	[n.; suru; no-n.] participation
今年	ことし,こんねん	[advn.; tempn.] this year
国	くに	[n.] country; state // [n.] region // [n.] national government; central government // [n.] home (i.e. hometown, home country) // [arch.] province (of Japan) // [arch.] land; earth
集まる	あつまる	[v5ru.; vi.] to gather; to collect; to assemble
日	ひ	[advn.; tempn.] day; days // [n.] sun; sunshine; sunlight // [n.] case (esp. unfortunate); event
日	にち	[n.; abbr.] Sunday // [suffix] day (of the month) // [suffix; cnt.] counter for days // [n.; sufn.; prefn.; abbr.] Japan
日	か	[sufn.] day of month // [cnt.] counter for days
４日	よっか	[n.] fourth day of the month // [n.] four days
最後	さいご	[n.; no-n.] last; end; conclusion; latest; most recent // [phrase] no sooner than; right after (often having negative consequences) // [arch.] one's final moments
審査	しんさ	[n.; suru] judging; inspection; examination; investigation; review
白鳥	はくちょう,しろとり,しらとり,ハクチョウ	[n.] swan (Cygnus spp.) // [n.] white-feathered bird
湖	みずうみ	[n.] lake
湖	こ	[suffix] lake (in place names)
白鳥の湖	はくちょうのみずうみ	[n.] Swan Lake (ballet)
美しい	うつくしい	[adj.] beautiful; lovely
上	うえ	[n.; no-n.; advn.; sufn.] above; up; over; elder (e.g. daughter) // [n.] top; summit // [n.] surface; on // [n.] before; previous // [n.] superiority; one's superior (i.e. one's elder) // [n.] on top of that; besides; what's more // [n.] upon (further inspection, etc.); based on (and occurring after) // [n.] matters concerning...; as concerns ... // [n.] since (i.e. "for that reason") // [sufn.; sonkeigo] suffix indicating higher social standing // [arch.] place of one's superior (i.e. the throne) // [arch.] emperor; sovereign; shogun; daimyo // [arch.] noblewoman (esp. the wife of a nobleman)
上	うわ	[n.; pref.] upper; upward; outer; surface; top
上	かみ	[n.] upper reaches (of a river); upper stream // [n.] top; upper part; upper half (of the body) // [n.] long ago // [n.] beginning; first // [sonkeigo] person of high rank (e.g. the emperor) // [n.] government; imperial court // [n.] imperial capital (i.e. Kyoto); capital region (i.e. Kansai); region (or direction of) the imperial palace // [n.] head (of a table) // [sonkeigo] wife; mistress (of a restaurant)
上	じょう	[sufn.] from the standpoint of; as a matter of (e.g. fact); in the field of; being of the type of // [n.] aboard (a ship or vehicle); on top of; on; above // [n.] first volume (e.g. book) // [n.; pref.] superior quality; best; top; high class // [n.] going up // [n.] governmental; imperial // [n.] presenting; showing // [pref.] ana- (medical, biol.)
番目	ばんめ	[cnt.] indicates position in a sequence // [n.] divisions of a kabuki performance
になる		[phrase; v5ru.; us. kana] becomes; will become; turns out // [sonkeigo; us. kana] to do
ドイツ		[n.; us. kana] Germany
中学生	ちゅうがくせい	[n.] junior high school student; middle school pupil
続ける	つづける	[v1.; vt.; auxv.] to continue; to keep up; to keep on
続けて	つづけて	[adv.] successively; continuously; in a row
っぽい	っぽい,ぽい	[suffix; adj.; coll.] -ish; -like // [n.; ono.] tossing something out; throwing something away
雪	ゆき	[n.] snow
まつり	まつり,マツリ	[n.; us. kana] Arabian jasmine (Jasminum sambac)
始まる	はじまる	[v5ru.; vi.] to begin; to start; to commence // [n.] to happen (again); to begin (anew) // [n.] to date (from); to originate (in)
北海道	ほっかいどう	[n.] Hokkaido (island, prefectural-level administrative unit)
札幌	さっぽろ	[n.] Sapporo (city)
市	いち	[n.] market; fair
市	し	[n.; sufn.] city
回	かい	[cnt.] counter for occurrences // [n.] counter for games, rounds, etc.; counter for innings (baseball) // [n.; prefn.] Islam // [n.; abbr.] Hui (people)
目	め	[n.] eye; eyeball // [n.] eyesight; sight; vision // [n.] look; stare; glance // [n.] an experience // [n.] viewpoint // [n.] stitch; texture; weave // [suffix] ordinal number suffix // [n.] somewhat; -ish
目	もく	[n.] order // [n.] item (of a budget revision, etc.) // [cnt.] counter for go pieces; counter for surrounded positions (in go)
回目	かいめ	[n.] -Nth time around
６日	むいか,むゆか,むよか	[n.] sixth day of the month // [n.] six days
外国	がいこく,そとぐに	[n.; no-n.] foreign country
氷	こおり	[n.] ice // [n.] shaved ice (usually served with flavored simple syrup)
氷	ひ	[n.; arch.] ice // [n.] hail
作る	つくる	[v5ru.; vt.] to make; to produce; to manufacture; to build; to construct // [n.] to prepare (food); to brew (alcohol) // [n.] to raise; to grow; to cultivate; to train // [n.] to till // [n.] to draw up (a document); to make out; to prepare; to write // [n.] to create (an artistic work, etc.); to compose // [n.] to coin (a phrase); to organize; to organise; to establish; to found // [n.] to have (a child) // [n.] to make up (one's face, etc.) // [n.] to fabricate (an excuse, etc.) // [n.] to form (a line, etc.) // [n.] to set (a record) // [n.] to commit (a sin, etc.)
像	ぞう	[n.; sufn.] image; figure; statue; picture; portrait // [n.] figure; form; shape; appearance // [n.] image
来る	くる	[vkuru.; vi.] to come (spatially or temporally); to approach; to arrive // [vkuru.; vi.; auxv.] to come back; to do ... and come back // [n.] to come to be; to become; to get; to grow; to continue // [vkuru.; vi.] to come from; to be caused by; to derive from // [n.] to come to (i.e. "when it comes to spinach ...")
来る	きたる	[pren.] next (e.g. "next April"); forthcoming; coming // [v5ru.; vi.] to come; to arrive; to be due to
見に来る	みにくる	[phrase; vkuru.] to come and see (someone, something); to visit
３つ	みっつ,みつ	[num.] three
会場	かいじょう	[n.] assembly hall; meeting place; venue; grounds
並ぶ	ならぶ	[v5bu.; vi.] to line up; to stand in a line // [n.] to rival; to match; to equal
並んで	ならんで	[adv.] alongside; side-by-side; abreast
公園	こうえん	[n.] (public) park
には		[part.] for (in regard to); in order to
高い	たかい	[adj.] high; tall // [n.] expensive
高さ	たかさ	[n.] height; altitude; elevation; level
建物	たてもの	[n.] building
フランス		[n.; us. kana] France
門	と	[n.] door (esp. Japanese-style) // [n.] shutter; window shutter // [arch.] entrance (to a home) // [arch.] narrows
門	もん,かど	[n.; sufn.] gate // [n.] branch of learning based on the teachings of a single master // [n.] division; phylum // [cnt.] counter for cannons
去年	きょねん,こぞ	[advn.; tempn.] last year
歌	うた	[n.] song // [n.] classical Japanese poetry (esp. tanka) // [n.] modern poetry
ピコ		[n.; pref.] pico-; 10^-12
太郎さん	たろうさん	[n.; slang] cockroach (word used in restaurants so customers won't catch on) // [n.] Mr Tarou
大阪	おおさか,おおざか	[n.] Osaka // [arch.] large hill
女性	じょせい,にょしょう	[n.; no-n.] woman; female // [n.] feminine gender
初めて	はじめて	[adv.; no-n.] for the first time // [adv.] only after ... is it ...; only when ... do you ...
顔	かお,がん	[n.] face; visage // [n.] look; expression; countenance // [n.] honor; honour; face // [n.] influence; notoriety
顔	かんばせ	[n.; arch.] countenance; visage // [n.] face; honor (honour); dignity
細かい	こまかい	[adj.] small // [n.] fine; minute // [n.] minor; trivial // [n.] sensitive; attentive
所	ところ,とこ	[n.; suffix] place; spot; scene; site // [us. kana] address // [us. kana] district; area; locality // [us. kana] one's house // [us. kana] point // [us. kana] part // [us. kana] space; room // [us. kana] thing; matter // [n.; us. kana] whereupon; as a result // [us. kana] about to; on the verge of // [us. kana] was just doing; was in the process of doing; have just done; just finished doing
所	しょ	[suffix; cnt.] counter for places
びっくり	びっくり,ビックリ	[suru; adv.; us. kana; ono.] to be surprised; to be amazed; to be frightened; to be astonished; to get startled; to jump // [n./prenv.; us. kana; ono.] surprise (e.g. surprise party)
話す	はなす	[v5su.; vt.] to talk; to speak; to converse; to chat // [n.] to tell; to explain; to narrate; to mention; to describe; to discuss // [n.] to speak (a language)
１２日	じゅうににち	[n.] twelfth day of the month // [n.] twelve days
２日	ふつか	[n.] second day of the month // [n.] two days
アメリカ		[n.; us. kana] America // [us. kana] United States of America
トランプ		[n.] playing cards
大統領	だいとうりょう	[n.] president; chief executive
裁判所	さいばんしょ	[n.] court; courthouse
ことになる		[phrase; v5ru.; us. kana] it has been decided (so) that; it has been arranged (so) that // [us. kana] it is the result (of); it is the outcome // [us. kana] it is the reason (for)
中東	ちゅうとう	[n.; no-n.] Middle East
アフリカ		[n.; no-n.; us. kana] Africa
７つ	ななつ	[num.] seven
しばらく	しばらく,しゅゆ,すゆ	[adv.; no-n.; us. kana] little while; short while; moment; instant // [us. kana] a while; quite a time // [interj.; us. kana] it's been a long time
入れる	いれる	[v1.; vt.] to put in; to let in; to take in; to bring in; to insert; to set (a jewel, etc.); to ink in (e.g. a tattoo) // [n.] to admit; to accept; to employ; to hire // [n.] to accept; to comply; to grant; to adopt (a policy, etc.); to take (advice, etc.); to listen to; to pay attention to // [n.] to include // [n.] to pay (one's rent, etc.) // [n.] to cast (a vote) // [n.] to make (tea, coffee, etc.) // [n.] to turn on (a switch, etc.) // [n.] to send (a fax); to call
という	という,とゆう	[phrase; us. kana] called; named // [us. kana] as many as; as much as // [us. kana] all X; every X
命令	めいれい	[n.; suru] order; command; decree; directive // [n.] (software) instruction; statement
出す	だす	[v5su.; vt.] to take out; to get out // [n.] to put out; to reveal; to show // [n.] to submit (e.g. thesis); to turn in // [n.] to publish; to make public // [n.] to send (e.g. letter) // [n.] to produce (a sound); to start (fire) // [n.] to serve (food) // [suffix; v5su.] to begin ...; to start to ...; to burst into ...
ワシントン		[n.; us. kana] Washington, DC (capital of the United States of America) // [us. kana] Washington (US state)
州	しゅう	[n.; sufn.] state; province; county; oblast; department (of ancient China) // [n.] continent // [suffix; arch.] dear
