大事 daiji
過激 kageki
横浜 yokohama
越す kosu
引っ越す hikkosu
間に合う ma ni au
締め切り shimekiri
長い間 nagaiaida
差し上げる sashiageru
古文 kobun
市場 ichiba
慣れる nareru
少しずつ sukoshi zutsu
漸く youyaku
結露 ketsuro
曇る kumoru
入場料 nyuujouryou
無料 muryou
関する kan suru
に関して ni kanshite
巷 chimata
岐 chimata
腐る kusaru
溢れる afureru
非常 hijou
中心 chuusin
中心地 chuushinchi
華やか hanayaka
若者 wakamono
人気 ninki
辺り atari
因る yoru
依る yoru
寛大 kandai
寛大さ kandaisa
友人 yuujin
付け込む tsukekomu
未来 mirai
助詞 joshi
お台場 odaiba
信じる shinjiru
帝国 teikoku
時代 jidai
王 ou
冠 kanmuri
革命 kakumei
弾丸 dangan
命中 meichuu
講演 kouen
宣伝 senden
糞 kuso
開発 kaihatsu
開発者 kaihatsusha
順序 junjo
段階 dankai
計画 keikaku
風景 fuukei
穏やか odayaka
消臭剤 shoushuuzai
年上 toshiue
昼寝 hirune
付き合う tsukiau
見つかる mitsukaru
お蔭 okage
お陰様で okagesamade
只 tada
周り mawari
不便 fuben
再生 saisei
見出す miidasu
聴解 choukai
読解 dokkai
受験 juken
受かる ukaru
専攻 senkou
競争 kyousou
講演会 kouenkai
蒸れる mureru
群れる mureru
蒸す musu
原文 genbun
半分 hanbun
思いっきり omoikkiri
検定 kentei
羨ましい urayamashii
類い tagui
すら sura
通じる tsuujiru
合否 gouhi
受け止める uketomeru
合点 gaten
過去 kako
遡る sakanoboru
参考 sankou
一部 ichibu
抜き出す nukidasu
表 omote
表す arawasu
直面 chokumen
確認 kakunin
馴染み najimi
遭遇 souguu
まだまだ madamada
諸国 shokoku
恐ろしい osoroshii
生命 seimei
危険 kiken
向かう mukau
他国 takoku
通過 tsuuka
入国 nyuukoku
許す yurusu
法律 houritsu
行動 koudou
変わる kawaru
変る kawaru
鈍い nibui
字 aza
興味深い kyoumibukai
世界中 sekaijuu
本格 honkaku
由来 yurai
綴り tsudzuri
前回 zenkai
疑問 gimon
拝見 haiken
辿る tadoru
勤務 kinmu
今後 kongo
頻繁 hinpan
聞き手 kikite
打ち明ける uchiakeru
繋がり tsunagari
纏める matomeru
不自然 fushizen
それはさておき sore wa sateoki
挟む hasamu
同様 douyou
訳 wake
全体 zentai
音声 onsei
帰宅 kitaku
気付き kidzuki
発表 happyou
明らか akiraka
延々 en'en
保存 hozon
師走 shiwasu
代名詞 daimeishi
夜勤 yakin
心境 shinkyou
生きる ikiru
生きていかれない ikite ikarenai
なんて nante
見付ける mitsukeru
見付かる mitsukaru
悟る satoru
曲名 kyokumei
歌手 kashu
作詞 sakushi
作曲 sakkyoku
本年 hon'nen
新年 shin'nen
半年 hantoshi, han'nen
年内 nen'nai
難民 nanmin
普段 fudan
語学 gogaku
休憩 kyuukei
数日 suujitsu
以前 izen
在宅 zaitaku
転職 tenshoku
機 hata
形 katachi, you
性能 seinou
近々 chikachika
開催 kaisai
都市 toshi
立候補 rikkouho
騒ぎ出す sawagidasu
知識 chishiki
なかなか nakanaka
参る mairu
海岸 kaigan
写る utsuru
載る noru
おそらく osoraku
予め arakajime
下調べ shitashirabe
姿 sugata
見かける mikakeru
乗せる noseru
訳す yakusu
不思議 fushigi
感覚 kankaku
性 saga
胃腸 ichou
炎 honoo, homura
当たる ataru
熱意 netsui
下がる sagaru
比べる kuraberu
英文 eibun
自問 jimon
進歩 shinpo
強化 kyouka
国会 kokkai
議事堂 gijidou
古城 kojou
旧跡 furuato, kyuuseki, koseki
河川 kasen
地元 jimoto
河口 kakou, kawagura
遡る sakanoboro
三脚 sankyaku
積む tsumu
走り回る hashirimawaru
挿し絵 sashie
流れる nagareru
改めて aratamete
沿い zoi
異国 ikoku
情緒 joucho, jousho
たっぷり tappuri
純粋 junsui
世紀 seiki
番外 bangai
編 hen
人妻 hitodzuma
欧州 oushuu
魅了 miryou
奥様 okusama
国民 kokumin
長々 naganaga
主人公 shujinkou
再起動 saikidou
独身 dokushin
毒 doku
毒性 dokusei
当てはまる atehamaru
手にする te ni suru
うんざり unzari
意志 ishi 
堕落 daraku
自堕落 jidaraku
人間 nin'gen
褒める homeru
主語 shugo
目的語 mokutekigo
一般 ippan
一般に ippan ni
一般論 ippanron
省略 shouryaku
歯切れ hagire
嫌悪 ken'o
自己嫌悪 jikoken'o
陥る ochiiru
固い katai
硬い katai
飽きる akiru
適切 tekisetsu
直感 chokkan
最低 saitei
文脈 bunmyaku
上記 jouki
略して ryakushite
早春 soushun
反発 hanpatsu
別れる wakareru
彼氏 kareshi
洋介 yousuke
智子 tomoko
求人 kyuujin
面接 mensetsu
筆記 hikki
審査 shinsa
研修 kenshuu
経る heru
模擬 mogi
求人広告 kyuujinkoukoku
筆記試験 hikkishiken
人類 jinrui
規制 kisei
と共に to tomo ni
新着 shinchaku
かなり kanari
引き換え hikikae
引き替え hikikae
引き返す hikikaesu
避ける sakeru
無理矢理 muriyari
徹夜 tetsuya
なるべく narubeku
落書き rakugaki
壊れる kowareru
頂戴 choudai
目次 mokuji
概要 gaiyou
版 ban
集 shuu
作成 sakusei
初旬 shojun
認定 nin'tei
目安 meyasu
級 kyuu
旧 kyuu
日常的 nichijouteki
科目 kamoku
語彙 goi
判定 hantei
お知らせ oshirase
案内 an'nai
日時 nichiji
例外 reigai
場面 bamen
程度 teido
独立 dokuritsu
行政 kyousei
法人 houjin
祭 matsuri
団 dan
教育 kyouiku
独立行政法人 dokuritsugyouseihoujin
基金 kikin
交流 kouryuu
国際交流基金 kokusaikouryoukikin
協会 kyoukai
米印 komejirushi (※)
天文学 tenmongaku
宇宙開発 uchuukaihatsu
歓迎 kangei
大歓迎 daikangei
接尾辞 setsubiji
硫黄 iou
飼う kau
一寸 chotto
程 hodo
残響 zankyou
残業 zangyou
吹き替え fukikae
分割 bunkatsu
奴 yatsu
さっさと sassato
込む komu
一体 ittai
俺 ore
怠ける namakeru
空く suku
空く aku
長時間 choujikan
何回 nankai
感染 kansen
感染する kansen suru
休日 kyuujitsu
やりとり yaritori
他人行儀 taningyougi
祖父母 sofubo
目上 meue
物理 butsuri
精神 seishin
距離 kyori
しばらく shibaraku
すでに sude ni
親しい shitashii
光栄 kouei
追伸 tsuishin
間柄 aidagara
語尾 gobi
親しみ shitashimi
ユーザ名 yuuzamei
変更 henkou
変更する henkou suru
気楽 kiraku
気遣い kidzukai
社員 shain
山道 yamamichi
日食 nisshoku
越える koeru
超える koeru
不可能 fukanou
あらゆる arayuru
有らゆる arayuru
含む fukumu
領収証 ryoushuushou
限界 genkai
勝つ katsu
個人 kojin
彼奴 aitsu
小説 shousetsu
人工知能 jinkouchinou
研究 kenkyuu
物語 monogatari
文学賞 bungakushou
人工 jinkou
爆発 bakuhatsu
国際空港 kokusaikuukou
亡い nai
亡くなる naku naru
爆弾 bakudan
関係 kankei
原発 genhatsu
原子力 genshiryoku
発電所 hatsudensho
原子力発電所 genshiryoku hatsudensho
放射 housha
放射性 houshasei
物質 busshitsu
放射性物質 houshaseibusshitsu
放射線 houshasen
金属 kinzoku
幅 haba
資料 shiryou
家庭教師 kateikyoushi
惑星 wakusei
岩石 genseki
ガス惑星 gasu wakusei
岩石惑星 ganseki wakusei
状 jou
ガス状惑星 gasu jou wakusei
知り合う shiriau
繰り返し kurikaeshi
寝れる nereru
切っ掛け kikkake
切っ掛けに kikkake ni
曲目 kyokumoku
気が進まない ki ga susumanai
ぎりぎり girigiri
要塞 yousai
一晩中 hitobanjuu
綴り方 tsudzurikata
魂 tamashii
贅沢 zeitaku
唯一 yuitsu
抱っこ dakko
抱っこする dakko suru
紐 himo
辞典 jiten
辞める yameru
印象 in'shou
総まとめ soumatome
纏め matome
纏める matomeru
総人口 soujinkou
割り込む warikomu
邪魔 jama
邪魔する jama suru
表面 hyoumen
着せ替える kisekaeru
着せ替え人形 kisekae nin'gyou
遺産 isan
世界遺産 sekai isan
文化的 bunkateki
届ける todokeru
解凍 kaitou
文頭 buntou
冗長 jouchou
伝える tsutaeru
省く habuku
対応 taiou
直接 chokusetsu
迷惑 meiwaku
映じる eijiru
反映 han'ei
見合う miau
弾く hajiku
実際に jissai ni
逆さ sakasa
映像 eizou
汚れる yogoreru
汚す yogosu
駄洒落 dajare
鼠取り nezumitori
惜しい oshii
愛 ai
平和 heiwa
齎す motarasu
そっくり sokkuri
受け取る uketoru
輝く kagayaku
光る hikaru
お洒落 oshare
変身 hen'shin
任せる makaseru
透明 toumei
色づく irodzuku
伝説 den'setsu
注入 chuunyuu
七色 nanairo
きらきら kirakira
哀しみ kanashimi
証拠 shouko
独り hitori
最強 saikyou
恋 koi
起き上がる okiagaru
画質 gashitsu
向け muke
日時 nichiji
例外 reigai
上旬 joujun
初旬 shojun
中旬 chuujun
下旬 gejun
第 dai
第三者 daisan'sha
祝日 shukujitsu
ただし tadashi
なお nao
付け加える tsukekuwaeru
女子 joshi
男子 danshi
中央 chuuou
中央図書館 chuuoutoshokan
問い toi
開館 kaikan
開館時間 kaikanjikan
休館日 kyuukanbi
児童室 jidoushitsu
使用 shiyou
重なる kasanaru
工事 kouji
電気工事 denkikouji
臨時 rinji
利用 riyou
内容 naiyou
翌日 yokujitsu
閉館 heikan
独学 dokugaku
抹茶 maccha
匂い nioi
匂う niou
主義 shugi
躾 shitsuke
仕付け shitsuke
仕付ける shitsukeru
方向 houkou
四つ角 yottsukado
斜め naname
手前 temae
有料駐車場 yuuryouchuushajou
突き当たり tsukiatari
前方 zenhou
後方 kouhou
右折する usetsu suru
左折する sasetsu suru
徒歩 toho
面する men'suru
一方通行 ippoutsuukou
会話文 kaiwabun
会場 kaijou
説明会 setsumeikai
案内図 an'naizu
地下 chika
軒 ken
本音 hon'ne
建て前 tatemae
花粉 kafun
症 shou
苦しむ kurushimu
鼻水 hanamizu
嚏 kushami
日数 nissuu
辛い dzurai
幸い saiwai
花粉症 kafun'shou
酷い　hidoi
頭痛 zutsuu
どうぞお大事に douzo odaiji ni
時差ぼけ jisaboke
とのこと tonokoto
制汗剤 seikanzai
解像度 kaizoudo
申請 shinsei
承認 shounin
打者 dasha
担ぐ katsugu
担当する tantou suru
接する sessuru
接続 setsuzoku
支える sasaeru
技 waza
特技 tokugi
技術力 gijutsuryoku
育てる sodateru
育つ sodatsu
売り切れ urikire
大騒ぎ oosawagi
投手 toushu
探る saguru
探検 tanken
復習 fukushuu
値上がり neagari
授業料 jugyouryou
望む nozomu
望み nozomi
修正 shuusei
新製品 shinseihin
発売 hatsubai
並べ替える narabekaeru
曲 kyoku
蓋 futa
動作 dousa
噛む kamu
吠える hoeru
人口 jinkou
世話 sewa
金魚 kingyo
図 zu
輸出 yushutsu
安売り yasuuri
努力 doryoku
水分 subun
愛情 aijou
叱る shikaru
楽ちん rakuchin
健康 kenkou
保証 hoshou
解決 kaiketsu
渋滞 juutai
首都圏 shutoken
状況 joukyou
現在 genzai
過ち ayamachi
農業 nougyou
論文 ronbun
速報 sokuhou
震度 shindo
克服 kokufuku
屋根 yane
話し合う hanashiau
話し合い hanashiai
被害 higai
市民 shimin
被害者 higaisha
一言 hitokoto
飛ばす tobasu
広がる hirogaru
すっかり sukkari
ぐっすり gussuri
有料 yuuryou
次々 tsugitsugi
今頃 imagoro
可愛がる kawaigaru
短気 tanki
に於いて ni oite
縛る shibaru
自由 jiyuu
玉ねぎ tamanegi
防ぐ fusegu
大量 tairyou
満 man
不満 fuman
申込書 moushikomisho
納車 nousha
疎か orosoka
部品 buhin
役に立たない yaku ni tatanai
傷 kizu
拭く fuku
埃 hokori
修理 shuuri
たった tatta
汗 ase
情け nasake
情けない nasakenai
怪しい ayashii
栄養 eiyou
たっぷり tappuri
自慢 jiman
中断 chuudan
同梱 doukon
嵌まる hamaru
聴く kiku
支持 shiji
戦場 senjou
劇場版 gekijouban
本編 honpen
観る miru
泣ける nakeru
お気に入り oki ni iri
手がける tegakeru
盛り上がる moriagaru
期待 kitai
徐々 jojo
鳥肌 torihada
鳥肌が立つ torihada ga tatsu
総毛立つ soukedatsu
作曲家 sakkyokuka
多数 tasuu
心情 shinjou
心情的 shinjouteki
現実 genjitsu
現実的 genjitsuteki
こっそり kossori
ご無沙汰 gobusata
界隈 kaiwai
割と warito
もとい motoi
呑む nomu
等距離 toukyori
落ち着く ochitsuku
肌 hada, hadae
懐かしい natsukashii
路地 roji
ごちゃごちゃ gochagocha
当時 touji
都内 tonai
構える kamaeru
職場 shokuba
出資 shusshi
専門学校 senmongakkou
非常勤講師 hijoukinkoushi
飾る kazaru
派手 hade
外れる hazureru
幼少 youshou
連想 rensou
いつのまにか itsu no ma ni ka
建設 kensetsu
建設中 kensetsuchuu
溶け込む tokekomu
浮き uki
逞しい takumashii
管理 kanri
早朝 souchou
巡り meguri
林道 rindou
散策 sansaku
大差 daisa
絡める karameru
下流 karyuu
上流 jouryuu
県道 kendou
抜ける nukeru
クモの巣 kumo no su
思いっきり omoikkiri
引っかかる hitsukakaru
常に tsune ni
脇 waki
看板 kanban
曲がる magaru
全線 zensen
全開 senkai
ゆったり yuttari
鳴き声 nakigoe
ぐるっと gurutto
素通り sudoori
北上 hokujou
南下 nan'ka
大福 daifuku
経つ tatsu
舗装 hosou
砂ぼこり sunabokori
うっすら ussura
足回り ashimawari
轍 wadachi
擦る kosuru
ヶ所 kasho
念の為 nen no tame
歴代 rekidai
愛車 aisha
実物 jitsubutsu
やり直し yarinaoshi
珍しい mezurashii
国道 koudou
標識 hyoushiki
汗だく asedaku
内輪ネタ uchiwaneta
さすがに sasuga ni
範囲 han'i
広範囲 kouhan'i
追跡 tsuiseki
向かって左 mukattehidari
向かって右 mukattemigi
非常用 hijouyou
洪水 kouzui
のんびり nonbiri
訪れる otozureru
洗車 sensha
洗車場 senshajou
井戸水 idomizu
こびり付く kobiritsuku
戦利品 senrihin
坂 saka
路上 rojou
着地 chakuchi
拡大 kakudai
手打ち teuchi
促す unagasu
注意を促す chuui wo unagasu
音変化 onpenka
